ticker,company_name,sector,usable_strict,total_rows_7d,bucket,reached_3,reached_5,reached_10,reached_20
A,Agilent Technologies,Health Care,9,45,5-9,True,True,False,False
AAPL,Apple Inc.,Information Technology,19,84,10-19,True,True,True,False
ABBV,AbbVie,Health Care,28,80,20+,True,True,True,True
ABNB,Airbnb,Consumer Discretionary,39,81,20+,True,True,True,True
ABT,Abbott Laboratories,Health Care,35,81,20+,True,True,True,True
ACGL,Arch Capital Group,Financials,8,49,5-9,True,True,False,False
ACN,Accenture,Information Technology,37,111,20+,True,True,True,True
ADBE,Adobe Inc.,Information Technology,49,104,20+,True,True,True,True
ADI,Analog Devices,Information Technology,10,57,10-19,True,True,True,False
ADM,Archer Daniels Midland,Consumer Staples,15,40,10-19,True,True,True,False
ADP,Automatic Data Processing,Industrials,6,48,5-9,True,True,False,False
ADSK,Autodesk,Information Technology,15,66,10-19,True,True,True,False
AEE,Ameren,Utilities,16,60,10-19,True,True,True,False
AEP,American Electric Power,Utilities,14,51,10-19,True,True,True,False
AES,AES Corporation,Utilities,21,62,20+,True,True,True,True
AFL,Aflac,Financials,17,55,10-19,True,True,True,False
AIG,American International Group,Financials,7,45,5-9,True,True,False,False
AIZ,Assurant,Financials,10,49,10-19,True,True,True,False
AJG,Arthur J. Gallagher & Co.,Financials,9,62,5-9,True,True,False,False
AKAM,Akamai Technologies,Information Technology,33,109,20+,True,True,True,True
ALB,Albemarle Corporation,Materials,40,92,20+,True,True,True,True
ALGN,Align Technology,Health Care,15,65,10-19,True,True,True,False
ALL,Allstate,Financials,12,38,10-19,True,True,True,False
ALLE,Allegion,Industrials,11,41,10-19,True,True,True,False
AMAT,Applied Materials,Information Technology,11,54,10-19,True,True,True,False
AMCR,Amcor,Materials,7,50,5-9,True,True,False,False
AMD,Advanced Micro Devices,Information Technology,59,229,20+,True,True,True,True
AME,Ametek,Industrials,4,17,3-4,True,False,False,False
AMGN,Amgen,Health Care,11,47,10-19,True,True,True,False
AMP,Ameriprise Financial,Financials,12,47,10-19,True,True,True,False
AMT,American Tower,Real Estate,9,47,5-9,True,True,False,False
AMZN,Amazon,Consumer Discretionary,61,167,20+,True,True,True,True
ANET,Arista Networks,Information Technology,9,54,5-9,True,True,False,False
AON,Aon plc,Financials,13,52,10-19,True,True,True,False
AOS,A. O. Smith,Industrials,9,61,5-9,True,True,False,False
APA,APA Corporation,Energy,11,55,10-19,True,True,True,False
APD,Air Products,Materials,6,35,5-9,True,True,False,False
APH,Amphenol,Information Technology,16,49,10-19,True,True,True,False
