ticker,company_name,sector,industry,finnhub_raw,finnhub_deduped,finnhub_relevant,extraction_attempted,extraction_success,jina_success,trafilatura_success,newspaper4k_success,blocked_urls,paywalled_urls,extraction_fail,enriched_complete,db_usable_before,db_usable_after,new_usable_added,usable_7d,news_status,top_failure_reason,finnhub_429,google_used,google_added_usable,batch_num
AMD,Advanced Micro Devices,Information Technology,Semiconductors,243,10,10,10,9,5,0,4,0,0,1,0,75,75,0,75,scored,blocked_domains,False,False,0,2
GOOG,Alphabet Inc.,Communication Services,Interactive Media & Services,246,10,10,10,10,9,0,1,0,0,0,1,70,74,4,74,scored,none,False,False,0,9
GOOGL,Alphabet Inc.,Communication Services,Interactive Media & Services,245,10,10,10,10,9,0,1,0,0,0,0,59,61,2,61,scored,none,False,False,0,9
AMZN,Amazon,Consumer Discretionary,Broadline Retail,243,10,10,10,10,7,0,3,0,0,0,3,54,57,3,57,scored,none,False,False,0,2
ADBE,Adobe Inc.,Information Technology,Application Software,38,10,10,10,8,7,0,1,0,0,2,0,39,39,0,39,scored,blocked_domains,False,False,0,1
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,51,10,10,10,9,8,0,1,0,0,1,0,34,34,0,34,scored,blocked_domains,False,False,0,1
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",32,10,10,10,10,8,0,0,0,0,0,1,32,33,1,33,scored,none,False,False,0,1
ABT,Abbott Laboratories,Health Care,Health Care Equipment,27,10,10,10,9,9,0,0,0,0,1,0,28,28,0,28,scored,blocked_domains,False,False,0,1
ACN,Accenture,Information Technology,IT Consulting & Other Services,40,10,10,10,8,7,0,1,0,0,2,0,27,27,0,27,scored,blocked_domains,False,False,0,1
ALB,Albemarle Corporation,Materials,Specialty Chemicals,24,10,10,10,9,9,0,0,0,0,1,0,24,24,0,24,scored,blocked_domains,False,False,0,1
ABBV,AbbVie,Health Care,Biotechnology,35,10,10,10,10,10,0,0,0,0,0,0,23,23,0,23,scored,none,False,False,0,1
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",238,10,10,10,10,8,0,2,0,0,0,1,20,22,2,22,scored,none,False,False,0,1
NVDA,Nvidia,Information Technology,Semiconductors,249,10,10,10,9,6,0,3,0,0,1,0,21,21,0,21,scored,blocked_domains,False,False,0,14
BRO,Brown & Brown,Financials,Insurance Brokers,6,6,6,6,4,4,0,0,0,0,2,0,18,18,0,18,scored,blocked_domains,False,False,0,3
FOX,Fox Corporation,Communication Services,Broadcasting,37,10,10,10,7,5,0,2,0,0,3,6,13,17,4,17,scored,blocked_domains,False,False,0,8
MO,Altria,Consumer Staples,Tobacco,18,10,10,10,7,7,0,0,0,0,3,5,17,17,0,17,scored,blocked_domains,False,False,0,13
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,8,8,8,8,7,4,0,3,0,0,1,0,16,16,0,16,scored,blocked_domains,False,False,0,1
CHD,Church & Dwight,Consumer Staples,Household Products,5,5,5,5,5,5,0,0,0,0,0,2,14,16,2,16,scored,none,False,False,0,4
T,AT&T,Communication Services,Integrated Telecommunication Services,51,10,10,10,10,8,0,2,0,0,0,0,16,16,0,16,scored,none,False,False,0,18
ALLE,Allegion,Industrials,Building Products,13,10,9,9,8,6,0,2,0,0,1,0,15,15,0,15,scored,blocked_domains,False,False,0,1
MTB,M&T Bank,Financials,Regional Banks,4,4,4,4,3,3,0,0,0,0,1,2,14,15,1,15,scored,blocked_domains,False,False,0,13
PCG,PG&E Corporation,Utilities,Multi-Utilities,9,9,9,9,9,9,0,0,0,0,0,0,15,15,0,15,scored,none,False,False,0,15
ALL,Allstate,Financials,Property & Casualty Insurance,11,10,9,9,7,7,0,0,0,0,2,0,14,14,0,14,scored,blocked_domains,False,False,0,1
ALGN,Align Technology,Health Care,Health Care Supplies,5,5,5,5,5,5,0,0,0,0,0,0,13,13,0,13,scored,none,False,False,0,1
C,Citigroup,Financials,Diversified Banks,98,10,10,10,10,8,0,2,0,0,0,3,10,13,3,13,scored,none,False,False,0,3
MMM,3M,Industrials,Industrial Conglomerates,12,10,10,10,7,7,0,0,0,0,3,1,13,13,0,13,scored,blocked_domains,False,False,0,13
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,8,8,8,8,6,6,0,0,0,0,2,0,12,12,0,12,scored,blocked_domains,False,False,0,2
AOS,A. O. Smith,Industrials,Building Products,10,10,10,10,8,8,0,0,0,0,2,0,12,12,0,12,scored,blocked_domains,False,False,0,2
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,19,10,10,10,9,9,0,0,0,0,1,0,12,12,0,12,scored,blocked_domains,False,False,0,3
FOXA,Fox Corporation,Communication Services,Broadcasting,43,10,10,10,8,6,0,2,0,0,2,5,10,12,2,12,scored,blocked_domains,False,False,0,8
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,59,10,10,10,9,9,0,0,0,0,1,6,8,12,4,12,scored,blocked_domains,False,False,0,11
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,35,10,10,10,10,9,0,1,0,0,0,6,9,12,3,12,scored,none,False,False,0,11
AEE,Ameren,Utilities,Multi-Utilities,6,6,6,6,5,5,0,0,0,0,1,0,11,11,0,11,scored,none,False,False,0,1
AFL,Aflac,Financials,Life & Health Insurance,9,9,9,9,8,8,0,0,0,0,1,0,12,11,0,11,scored,blocked_domains,False,False,0,1
APH,Amphenol,Information Technology,Electronic Components,25,10,10,10,10,10,0,0,0,0,0,0,11,11,0,11,scored,none,False,False,0,2
BLK,BlackRock,Financials,Asset Management & Custody Banks,84,10,10,10,10,10,0,0,0,0,0,1,10,11,1,11,scored,none,False,False,0,3
CARR,Carrier Global,Industrials,Building Products,11,10,10,10,9,9,0,0,0,0,1,0,11,11,0,11,scored,blocked_domains,False,False,0,4
CRM,Salesforce,Information Technology,Application Software,91,10,10,10,10,8,0,2,0,0,0,3,8,11,3,11,scored,none,False,False,0,5
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,12,10,10,10,10,9,0,1,0,0,0,4,7,11,4,11,scored,none,False,False,0,5
EG,Everest Group,Financials,Reinsurance,7,7,7,7,7,7,0,0,0,0,0,4,7,11,4,11,scored,none,False,False,0,7
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,7,7,7,7,7,6,0,0,0,0,0,0,10,10,0,10,scored,none,False,False,0,1
