ticker,company,sector,finnhub_usable,currently_usable,db_articles_7d,primary_failure,enrichment_incomplete_count,hard_paywall_count,soft_block_count,extraction_bug_count,recoverable_bodies_7d,potential_after_reenrich_7d,reaches_3_7d,reaches_10_7d,reaches_10_14d,paywall_headlines_available,reaches_10_with_headline
BF.B,Brown–Forman,Consumer Staples,1,1,30,enrichment_incomplete,22,3,1,2,5,6,True,False,False,3,False
BKNG,Booking Holdings,Consumer Discretionary,1,1,35,enrichment_incomplete,22,0,4,6,8,9,True,False,False,0,False
BLDR,Builders FirstSource,Industrials,2,2,26,low_finnhub_supply,17,1,4,2,4,6,True,False,False,1,False
CINF,Cincinnati Financial,Financials,2,2,29,low_finnhub_supply,20,1,0,6,3,5,True,False,False,1,False
CNC,Centene Corporation,Health Care,2,2,35,enrichment_incomplete,22,2,4,5,5,7,True,False,False,1,False
CSGP,CoStar Group,Real Estate,2,2,29,enrichment_incomplete,17,0,1,8,7,9,True,False,True,0,False
GNRC,Generac,Industrials,1,1,27,enrichment_incomplete,21,1,2,2,6,7,True,False,False,1,False
GRMN,Garmin,Consumer Discretionary,0,0,24,low_finnhub_supply,23,0,0,0,9,9,True,False,False,0,False
GWW,W. W. Grainger,Industrials,2,1,27,enrichment_incomplete,18,1,3,4,7,8,True,False,False,1,False
HBAN,Huntington Bancshares,Financials,2,2,30,enrichment_incomplete,18,1,1,7,6,8,True,False,False,1,False
HII,Huntington Ingalls Industries,Industrials,2,2,30,enrichment_incomplete,20,0,1,7,7,9,True,False,False,0,False
HSIC,Henry Schein,Health Care,2,2,25,enrichment_incomplete,19,1,2,0,7,9,True,False,False,1,True
HSY,Hershey Company (The),Consumer Staples,2,2,31,enrichment_incomplete,22,0,2,3,9,11,True,True,True,0,False
HUBB,Hubbell Incorporated,Industrials,0,0,25,low_finnhub_supply,22,0,0,2,8,8,True,False,False,0,False
IEX,IDEX Corporation,Industrials,1,1,26,low_finnhub_supply,18,1,4,2,6,7,True,False,False,1,False
INCY,Incyte,Health Care,1,1,30,low_finnhub_supply,25,1,1,2,8,9,True,False,True,1,True
IP,International Paper,Materials,2,2,28,enrichment_incomplete,17,1,3,4,4,6,True,False,False,1,False
IQV,IQVIA,Health Care,2,2,29,enrichment_incomplete,22,0,0,5,9,11,True,True,True,0,False
IR,Ingersoll Rand,Industrials,2,2,29,enrichment_incomplete,19,1,1,5,5,7,True,False,False,1,False
ISRG,Intuitive Surgical,Health Care,1,1,34,enrichment_incomplete,20,1,6,6,7,8,True,False,False,1,False
JBHT,J.B. Hunt,Industrials,2,2,34,enrichment_incomplete,23,1,2,6,7,9,True,False,False,1,True
KMB,Kimberly-Clark,Consumer Staples,2,2,37,enrichment_incomplete,27,0,3,5,5,7,True,False,False,0,False
KR,Kroger,Consumer Staples,2,2,32,enrichment_incomplete,19,0,4,7,5,7,True,False,False,0,False
L,Loews Corporation,Financials,0,0,21,low_finnhub_supply,20,0,1,0,8,8,True,False,False,0,False
LH,Labcorp,Health Care,1,1,30,enrichment_incomplete,22,0,1,6,11,12,True,True,True,0,False
LII,Lennox International,Industrials,1,1,26,low_finnhub_supply,20,0,2,3,8,9,True,False,False,0,False
LIN,Linde plc,Materials,2,2,25,enrichment_incomplete,19,0,3,1,6,8,True,False,False,0,False
LULU,Lululemon Athletica,Consumer Discretionary,2,2,34,enrichment_incomplete,19,2,3,7,7,9,True,False,False,2,True
LUV,Southwest Airlines,Industrials,1,1,33,enrichment_incomplete,21,0,4,7,6,7,True,False,False,0,False
